SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-2.M2-12.M3-1	37	24	0	7	2	1	100	6	0.0	22.5806451613
M1-2.M2-12.M3-6	36	21	1	10	2	0	100	7	2.7027027027	32.2580645161
M1-2.M2-12.M3-14	37	31	0	0	0	0	102	7	0.0	0.0
M1-2.M2-12.M3-16	36	30	1	1	0	1	102	6	2.7027027027	3.22580645161
M1-2.M2-12.M3-2	37	29	0	2	1	1	101	6	0.0	6.45161290323
M1-2.M2-12.M3-18	36	31	1	0	0	2	102	5	2.7027027027	0.0
M1-2.M2-12.M3-3	37	28	0	3	2	0	100	7	0.0	9.67741935484
M1-2.M2-12.M3-7	37	24	0	7	1	0	101	7	0.0	22.5806451613
M1-2.M2-12.M3-10	37	31	0	0	1	1	101	6	0.0	0.0
M1-2.M2-12.M3-5	36	29	1	2	1	0	101	7	2.7027027027	6.45161290323
M1-2.M2-3.M3-17	37	31	2	1	0	0	100	6	5.12820512821	3.125
M1-2.M2-3.M3-15	37	32	2	0	0	1	100	5	5.12820512821	0.0
M1-2.M2-3.M3-11	38	25	1	7	0	0	100	6	2.5641025641	21.875
M1-2.M2-3.M3-12	38	32	1	0	0	1	100	5	2.5641025641	0.0
M1-2.M2-3.M3-13	37	32	2	0	0	1	100	5	5.12820512821	0.0
M1-2.M2-3.M3-4	38	22	1	10	0	0	100	6	2.5641025641	31.25
M1-2.M2-3.M3-8	39	27	0	5	0	0	100	6	0.0	15.625
M1-2.M2-3.M3-9	39	31	0	1	0	0	100	6	0.0	3.125
M1-2.M2-3.M3-1	39	24	0	8	0	1	100	5	0.0	25.0
M1-2.M2-3.M3-6	38	21	1	11	0	0	100	6	2.5641025641	34.375
M1-2.M2-3.M3-14	37	31	2	1	0	0	100	6	5.12820512821	3.125
M1-2.M2-3.M3-16	36	31	3	1	0	0	100	6	7.69230769231	3.125
M1-2.M2-3.M3-2	38	29	1	3	0	1	100	5	2.5641025641	9.375
M1-2.M2-3.M3-18	36	32	3	0	0	1	100	5	7.69230769231	0.0
M1-2.M2-3.M3-3	39	28	0	4	0	0	100	6	0.0	12.5
M1-2.M2-3.M3-7	38	24	1	8	0	0	100	6	2.5641025641	25.0
M1-2.M2-3.M3-10	38	32	1	0	0	0	100	6	2.5641025641	0.0
M1-2.M2-3.M3-5	37	29	2	3	0	0	100	6	5.12820512821	9.375
M1-2.M2-4.M3-17	36	29	1	1	1	2	101	6	2.7027027027	3.33333333333
M1-2.M2-4.M3-15	36	29	1	1	1	4	101	4	2.7027027027	3.33333333333
M1-2.M2-4.M3-11	37	25	0	5	1	0	101	8	0.0	16.6666666667
M1-2.M2-4.M3-12	37	29	0	1	1	4	101	4	0.0	3.33333333333
M1-2.M2-4.M3-13	36	30	1	0	1	3	101	5	2.7027027027	0.0
M1-2.M2-4.M3-4	36	22	1	8	2	0	100	8	2.7027027027	26.6666666667
M1-2.M2-4.M3-8	37	25	0	5	2	2	100	6	0.0	16.6666666667
M1-2.M2-4.M3-9	37	29	0	1	2	2	100	6	0.0	3.33333333333
M1-2.M2-4.M3-1	37	24	0	6	2	1	100	7	0.0	20.0
M1-2.M2-4.M3-6	36	21	1	9	2	0	100	8	2.7027027027	30.0
M1-2.M2-4.M3-14	36	28	1	2	1	3	101	5	2.7027027027	6.66666666667
M1-2.M2-4.M3-16	35	28	2	2	1	3	101	5	5.40540540541	6.66666666667
M1-2.M2-4.M3-2	37	26	0	4	1	4	101	4	0.0	13.3333333333
M1-2.M2-4.M3-18	35	29	2	1	1	4	101	4	5.40540540541	3.33333333333
M1-2.M2-4.M3-3	37	26	0	4	2	2	100	6	0.0	13.3333333333
M1-2.M2-4.M3-7	37	24	0	6	1	0	101	8	0.0	20.0
M1-2.M2-4.M3-10	37	29	0	1	1	3	101	5	0.0	3.33333333333
M1-2.M2-4.M3-5	36	26	1	4	1	3	101	5	2.7027027027	13.3333333333
M1-2.M2-10.M3-17	37	29	0	1	0	2	102	6	0.0	3.33333333333
M1-2.M2-10.M3-15	36	30	1	0	1	3	101	5	2.7027027027	0.0
M1-2.M2-10.M3-11	37	24	0	6	1	1	101	7	0.0	20.0
M1-2.M2-10.M3-12	37	30	0	0	1	3	101	5	0.0	0.0
M1-2.M2-10.M3-13	36	30	1	0	1	3	101	5	2.7027027027	0.0
M1-2.M2-10.M3-4	36	22	1	8	2	0	100	8	2.7027027027	26.6666666667
M1-2.M2-10.M3-8	37	27	0	3	2	0	100	8	0.0	10.0
M1-2.M2-10.M3-9	37	29	0	1	2	2	100	6	0.0	3.33333333333
M1-2.M2-10.M3-1	37	22	0	8	2	3	100	5	0.0	26.6666666667
M1-2.M2-10.M3-6	36	21	1	9	2	0	100	8	2.7027027027	30.0
M1-2.M2-10.M3-14	37	29	0	1	0	2	102	6	0.0	3.33333333333
M1-2.M2-10.M3-16	36	30	1	0	0	1	102	7	2.7027027027	0.0
M1-2.M2-10.M3-2	37	28	0	2	1	2	101	6	0.0	6.66666666667
M1-2.M2-10.M3-18	36	30	1	0	0	3	102	5	2.7027027027	0.0
M1-2.M2-10.M3-3	37	27	0	3	2	1	100	7	0.0	10.0
M1-2.M2-10.M3-7	37	22	0	8	1	2	101	6	0.0	26.6666666667
M1-2.M2-10.M3-10	37	30	0	0	1	2	101	6	0.0	0.0
M1-2.M2-10.M3-5	36	28	1	2	1	1	101	7	2.7027027027	6.66666666667
M1-2.M2-6.M3-17	37	27	1	1	0	4	101	6	2.63157894737	3.57142857143
M1-2.M2-6.M3-15	37	27	1	1	0	6	101	4	2.63157894737	3.57142857143
M1-2.M2-6.M3-11	38	25	0	3	0	0	101	10	0.0	10.7142857143
M1-2.M2-6.M3-12	38	27	0	1	0	6	101	4	0.0	3.57142857143
M1-2.M2-6.M3-13	37	27	1	1	0	6	101	4	2.63157894737	3.57142857143
M1-2.M2-6.M3-4	37	22	1	6	1	0	100	10	2.63157894737	21.4285714286
M1-2.M2-6.M3-8	38	23	0	5	1	4	100	6	0.0	17.8571428571
M1-2.M2-6.M3-9	38	27	0	1	1	4	100	6	0.0	3.57142857143
M1-2.M2-6.M3-1	38	24	0	4	1	1	100	9	0.0	14.2857142857
M1-2.M2-6.M3-6	37	21	1	7	1	0	100	10	2.63157894737	25.0
M1-2.M2-6.M3-14	37	26	1	2	0	5	101	5	2.63157894737	7.14285714286
M1-2.M2-6.M3-16	36	26	2	2	0	5	101	5	5.26315789474	7.14285714286
M1-2.M2-6.M3-2	38	24	0	4	0	6	101	4	0.0	14.2857142857
M1-2.M2-6.M3-18	36	27	2	1	0	6	101	4	5.26315789474	3.57142857143
M1-2.M2-6.M3-3	38	24	0	4	1	4	100	6	0.0	14.2857142857
M1-2.M2-6.M3-7	38	24	0	4	0	0	101	10	0.0	14.2857142857
M1-2.M2-6.M3-10	38	27	0	1	0	5	101	5	0.0	3.57142857143
M1-2.M2-6.M3-5	37	24	1	4	0	5	101	5	2.63157894737	14.2857142857
M1-2.M2-11.M3-17	35	30	0	1	2	1	102	6	0.0	3.22580645161
M1-2.M2-11.M3-15	34	31	1	0	3	2	101	5	2.85714285714	0.0
M1-2.M2-11.M3-11	35	25	0	6	3	0	101	7	0.0	19.3548387097
M1-2.M2-11.M3-12	35	31	0	0	3	2	101	5	0.0	0.0
M1-2.M2-11.M3-13	34	31	1	0	3	2	101	5	2.85714285714	0.0
